area_type,availability,location,size,total_sqft,bath,balcony,price(in Lakhs),price
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1075,2,1,57,5700000
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1275,2,2,88,8800000
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,980,2,1,77.44,7744000
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,2980,4,2,260,26000000
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1000,2,2,60,6000000
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1120,2,2,65,6500000
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1415,3,1,65,6500000
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1000,2,1,61,6100000
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1680,3,2,117,11700000
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,850,2,2,42,4200000
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1460,3,1,70,7000000
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1575,2,2,120,12000000
Built-up  Area,Ready To Move,7th Phase JP Nagar,4 BHK,3600,3,2,410,41000000
Built-up  Area,Ready To Move,7th Phase JP Nagar,4 BHK,3300,4,0,150,15000000
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1400,3,1,115,11500000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1035,2,1,39.33,3933000
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,918,2,1,50.49,5049000
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1050,2,1,71,7100000
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1245,2,1,94,9400000
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1850,3,1,150,15000000
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1420,2,1,100,10000000
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1080,2,2,72,7200000
Plot  Area,Ready To Move,7th Phase JP Nagar,3 BHK,2200,4,2,105,10500000
Plot  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1200,2,2,200,20000000
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1050,2,1,57,5700000
Plot  Area,Ready To Move,7th Phase JP Nagar,4 BHK,3200,4,2,350,35000000
Plot  Area,Ready To Move,7th Phase JP Nagar,1 BHK,500,1,0,70,7000000
Super built-up  Area,19-Dec,7th Phase JP Nagar,4 BHK,2503,4,0,188,18800000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1270,2,1,83,8300000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1100,2,2,44,4400000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1405,2,2,59.01,5901000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1343,2,2,56.41,5641000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1300,2,2,52,5200000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1180,2,2,72,7200000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1370,2,1,56.17,5617000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1035,2,1,41.39,4139000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,980,2,2,69,6900000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1050,2,1,42,4200000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1680,3,2,120,12000000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1075,2,1,42.99,4299000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1190,2,1,49.98,4998000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1420,2,2,96,9600000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1000,2,1,38,3800000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1270,2,2,93,9300000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1400,2,1,95,9500000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,4 BHK,3600,4,3,400,40000000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1175,2,1,82,8200000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1100,2,0,46,4600000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1450,2,1,100,10000000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1040,2,1,39.52,3952000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1070,2,1,42.79,4279000
Super built-up  Area,19-Dec,7th Phase JP Nagar,3 BHK,2225,3,1,160,16000000
Plot  Area,Ready To Move,7th Phase JP Nagar,1 BHK,1000,1,1,60,6000000
Plot  Area,Ready To Move,8th Block Jayanagar,2 BHK,2800,2,0,650,65000000
Super built-up  Area,18-May,8th Block Jayanagar,2 BHK,1100,2,2,110,11000000
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,1062,2,1,42.47,4247000
Super built-up  Area,Ready To Move,8th Phase JP Nagar,3 BHK,1800,3,1,80,8000000
Super built-up  Area,18-Jun,8th Phase JP Nagar,3 BHK,1275,2,2,41.5,4150000
Super built-up  Area,18-Jul,8th Phase JP Nagar,1 BHK,500,1,1,31,3100000
Super built-up  Area,18-Jun,8th Phase JP Nagar,2 BHK,1080,2,2,35,3500000
Super built-up  Area,18-Jan,8th Phase JP Nagar,2 BHK,1059,2,2,34.5,3450000
Super built-up  Area,18-Oct,8th Phase JP Nagar,2 BHK,1080,2,2,38,3800000
Super built-up  Area,18-Jun,8th Phase JP Nagar,3 BHK,1240,3,2,43.5,4350000
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,871,2,2,55,5500000
Super built-up  Area,20-Mar,8th Phase JP Nagar,3 BHK,1455,3,2,73.31,7331000
Super built-up  Area,18-Jun,8th Phase JP Nagar,3 BHK,1230,2,2,43.5,4350000
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,1062,2,1,42.47,4247000
Super built-up  Area,18-May,8th Phase JP Nagar,1 BHK,451,1,0,29.9,2990000
Plot  Area,Ready To Move,8th Phase JP Nagar,4 BHK,600,5,2,99,9900000
Plot  Area,Ready To Move,8th Phase JP Nagar,4 BHK,1200,4,2,270,27000000
Super built-up  Area,18-Jun,8th Phase JP Nagar,2 BHK,1100,2,2,35,3500000
Plot  Area,Ready To Move,8th Phase JP Nagar,3 BHK,950,3,2,130,13000000
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,1098,2,1,43.91,4391000
Super built-up  Area,Ready To Move,8th Phase JP Nagar,4 BHK,2100,4,3,92,9200000
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,1160,2,1,95,9500000
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,909,2,1,40.9,4090000
Super built-up  Area,Ready To Move,8th Phase JP Nagar,3 BHK,1500,2,3,55,5500000
Super built-up  Area,19-Mar,8th Phase JP Nagar,3 BHK,1408,3,2,80,8000000
Super built-up  Area,Ready To Move,8th Phase JP Nagar,3 BHK,1269,2,3,50.75,5075000
Super built-up  Area,18-Jun,8th Phase JP Nagar,2 BHK,1046,2,1,48,4800000
Super built-up  Area,18-Apr,8th Phase JP Nagar,3 BHK,1275,3,2,45,4500000
Super built-up  Area,Ready To Move,8th Phase JP Nagar,3 BHK,1296,2,2,51.83,5183000
Super built-up  Area,Ready To Move,8th Phase JP Nagar,3 BHK,3300,3,2,165,16500000
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,1510,2,3,80,8000000
Super built-up  Area,18-Mar,8th Phase JP Nagar,2 BHK,1245,2,1,59,5900000
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,1035,2,1,39.33,3933000
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,1513,2,3,62,6200000
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,1089,2,1,43.55,4355000
Super built-up  Area,Ready To Move,8th Phase JP Nagar,3 BHK,1368,2,1,54.71,5471000
Super built-up  Area,Ready To Move,8th Phase JP Nagar,3 BHK,1504,2,2,83,8300000
Super built-up  Area,Ready To Move,8th Phase JP Nagar,3 BHK,1605,2,2,65,6500000
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,1089,2,1,43.55,4355000
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,1100,2,3,35,3500000
Super built-up  Area,Ready To Move,8th Phase JP Nagar,4 BHK,1200,3,2,110,11000000
Super built-up  Area,18-Jun,8th Phase JP Nagar,2 BHK,1125,2,2,36.94,3694000
Super built-up  Area,18-Jul,8th Phase JP Nagar,1 BHK,500,1,1,30,3000000
Super built-up  Area,Ready To Move,8th Phase JP Nagar,3 BHK,1224,2,2,48.95,4895000
Plot  Area,Ready To Move,8th Phase JP Nagar,4 BHK,1200,4,2,145,14500000
Carpet  Area,18-Jul,8th Phase JP Nagar,1 BHK,500,1,1,33,3300000
Built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,1006,2,0,44,4400000
Built-up  Area,Ready To Move,8th Phase JP Nagar,4 BHK,2700,4,2,130,13000000
Built-up  Area,Ready To Move,8th Phase JP Nagar,3 BHK,1900,4,1,90,9000000
Built-up  Area,Ready To Move,8th Phase JP Nagar,4 BHK,1200,4,1,140,14000000
Plot  Area,Ready To Move,8th Phase JP Nagar,4 BHK,660,4,2,90,9000000
Built-up  Area,Ready To Move,8th Phase JP Nagar,4 BHK,1800,4,0,230,23000000
Built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,1298,2,1,59,5900000
Built-up  Area,Ready To Move,8th Phase JP Nagar,4 BHK,2600,4,2,115,11500000
Super built-up  Area,Ready To Move,8th block Koramangala,2 BHK,1209,2,2,100,10000000
Super built-up  Area,Ready To Move,8th block Koramangala,2 BHK,1165,2,1,135,13500000
Plot  Area,Ready To Move,8th block Koramangala,3 BHK,600,2,1,85,8500000
Plot  Area,Ready To Move,8th block Koramangala,4 BHK,1650,3,1,300,30000000
Plot  Area,Ready To Move,8th block Koramangala,3 BHK,2400,3,2,290,29000000
Plot  Area,Ready To Move,8th block Koramangala,2 BHK,1410,1,0,233,23300000
Plot  Area,Ready To Move,8th block Koramangala,3 BHK,1846,3,2,300,30000000
Plot  Area,Ready To Move,9th Block Jayanagar,4 BHK,1000,5,2,200,20000000
Plot  Area,Ready To Move,9th Block Jayanagar,1 BHK,700,1,0,150,15000000
Plot  Area,Ready To Move,9th Block Jayanagar,4 BHK,1440,4,1,240,24000000
Super built-up  Area,18-Jun,9th Phase JP Nagar,2 BHK,1080,2,2,37,3700000
Built-up  Area,Ready To Move,9th Phase JP Nagar,3 BHK,1300,2,2,58,5800000
Built-up  Area,Ready To Move,9th Phase JP Nagar,4 BHK,1900,4,2,80,8000000
Built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,890,2,2,45,4500000
Plot  Area,Ready To Move,9th Phase JP Nagar,4 BHK,1200,3,2,188,18800000
Plot  Area,Ready To Move,9th Phase JP Nagar,2 BHK,1200,2,0,80,8000000
Plot  Area,Ready To Move,9th Phase JP Nagar,3 BHK,600,3,2,79,7900000
Plot  Area,Ready To Move,9th Phase JP Nagar,3 BHK,600,3,2,85,8500000
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,1005,2,1,50,5000000
Built-up  Area,Ready To Move,9th Phase JP Nagar,1 BHK,600,1,0,20,2000000
Super built-up  Area,21-Sep,9th Phase JP Nagar,2 BHK,1100,2,1,65,6500000
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,1005,2,1,42,4200000
Super built-up  Area,18-Mar,9th Phase JP Nagar,2 BHK,1466,2,2,71,7100000
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,1005,2,1,43,4300000
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,1331.95,2,2,69,6900000
Super built-up  Area,18-Mar,9th Phase JP Nagar,2 BHK,1050,2,2,35,3500000
Super built-up  Area,18-Jun,9th Phase JP Nagar,3 BHK,1240,2,2,42.85,4285000
Super built-up  Area,18-Jun,9th Phase JP Nagar,3 BHK,1240,2,2,39.89,3989000
Super built-up  Area,Ready To Move,9th Phase JP Nagar,3 BHK,1571,3,2,65,6500000
Super built-up  Area,21-Sep,9th Phase JP Nagar,3 BHK,1522,3,2,90,9000000
Super built-up  Area,19-Dec,9th Phase JP Nagar,2 BHK,1127,2,1,50,5000000
Super built-up  Area,18-Mar,9th Phase JP Nagar,3 BHK,1780,3,2,88,8800000
Super built-up  Area,21-Sep,9th Phase JP Nagar,2 BHK,1073,2,1,52.36,5236000
Built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,835,2,0,37,3700000
Super built-up  Area,21-Sep,9th Phase JP Nagar,2 BHK,1480,2,1,80,8000000
Super built-up  Area,21-Sep,9th Phase JP Nagar,2 BHK,1079,2,1,60,6000000
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,660,2,0,27,2700000
Super built-up  Area,18-Jul,9th Phase JP Nagar,2 BHK,1050,2,2,39,3900000
Super built-up  Area,Ready To Move,9th Phase JP Nagar,3 BHK,1719.3,2,2,88,8800000
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,905,2,1,32,3200000
Built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,1164,2,1,56,5600000
Built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,1035,2,1,45,4500000
Built-up  Area,Ready To Move,9th Phase JP Nagar,3 BHK,1890,2,2,85,8500000
Built-up  Area,Ready To Move,9th Phase JP Nagar,4 BHK,5000,4,3,290,29000000
Super built-up  Area,Ready To Move,A Narayanapura,1 BHK,600,2,1,35,3500000
Plot  Area,Ready To Move,A Narayanapura,1 BHK,1500,2,0,85,8500000
Plot  Area,Ready To Move,A Narayanapura,4 BHK,1650,4,3,320,32000000
Plot  Area,Ready To Move,A Narayanapura,4 BHK,1150,3,1,110,11000000
Built-up  Area,Ready To Move,A Narayanapura,4 BHK,1150,4,1,110,11000000
Super built-up  Area,Ready To Move,AECS Layout,2 BHK,1005,2,1,55,5500000
Super built-up  Area,Ready To Move,AECS Layout,2 BHK,1135,2,2,68,6800000
Super built-up  Area,Ready To Move,AECS Layout,2 BHK,1308,2,1,60,6000000
Super built-up  Area,Ready To Move,AECS Layout,2 BHK,1123,2,2,64,6400000
Super built-up  Area,Ready To Move,AECS Layout,2 BHK,1045,2,1,36.58,3658000
Super built-up  Area,Ready To Move,AECS Layout,2 BHK,1199,2,2,65,6500000
Super built-up  Area,Ready To Move,AECS Layout,2 BHK,1080,2,2,55,5500000
Super built-up  Area,Ready To Move,AECS Layout,2 BHK,1028,2,1,42,4200000
Super built-up  Area,Ready To Move,AECS Layout,3 BHK,1620,3,2,98,9800000
Super built-up  Area,Ready To Move,AECS Layout,2 BHK,1100,2,3,45,4500000
Built-up  Area,Ready To Move,AECS Layout,3 BHK,2000,3,1,90,9000000
Super built-up  Area,Ready To Move,AECS Layout,3 BHK,1800,3,3,65,6500000
Super built-up  Area,Ready To Move,AGS Layout,2 BHK,1150,2,1,46,4600000
Super built-up  Area,Ready To Move,AGS Layout,3 BHK,1080,2,2,75,7500000
Super built-up  Area,Ready To Move,AGS Layout,2 BHK,1075,2,1,48.38,4838000
Super built-up  Area,Ready To Move,AGS Layout,3 BHK,1490,2,1,59.6,5960000
Super built-up  Area,Ready To Move,AGS Layout,2 BHK,1040,2,1,46.79,4679000
Plot  Area,Ready To Move,AGS Layout,3 BHK,1936,3,0,110,11000000
Built-up  Area,Ready To Move,AGS Layout,3 BHK,1450,2,2,85,8500000
Built-up  Area,Ready To Move,AMS Layout,3 BHK,1650,2,2,80,8000000
Plot  Area,Ready To Move,AMS Layout,3 BHK,1200,4,2,80,8000000
Plot  Area,Ready To Move,AMS Layout,4 BHK,1200,4,1,110,11000000
Super built-up  Area,Ready To Move,AMS Layout,1 BHK,1000,1,1,19,1900000
Super built-up  Area,18-Apr,Aavalahalli,2 BHK,1180,2,3,41.94,4194000
Super built-up  Area,Ready To Move,Abbaiah Reddy Layout,2 BHK,1190,2,2,41,4100000
Built-up  Area,Ready To Move,Abbaiah Reddy Layout,2 BHK,1200,2,2,50,5000000
Super built-up  Area,Ready To Move,Abbaiah Reddy Layout,3 BHK,1310,2,3,50,5000000
Super built-up  Area,Ready To Move,Abbaiah Reddy Layout,2 BHK,1100,2,1,38.45,3845000
Super built-up  Area,Ready To Move,Abbaiah Reddy Layout,2 BHK,1100,2,1,38.49,3849000
Super built-up  Area,Ready To Move,Abbaiah Reddy Layout,2 BHK,1100,2,2,38.5,3850000
Super built-up  Area,18-Jun,Abbigere,3 BHK,1326,2,1,35,3500000
Super built-up  Area,Ready To Move,Abbigere,2 BHK,985,2,1,40.39,4039000
Super built-up  Area,Ready To Move,Abbigere,2 BHK,795,2,1,32.54,3254000
Super built-up  Area,Ready To Move,Abbigere,2 BHK,1130,2,1,46.33,4633000
Super built-up  Area,Ready To Move,Abbigere,2 BHK,995,2,1,40.8,4080000
Super built-up  Area,Ready To Move,Abbigere,2 BHK,1020,2,1,40.8,4080000
Super built-up  Area,Ready To Move,Abbigere,2 BHK,985,2,1,38.92,3892000
Super built-up  Area,18-Sep,Abbigere,3 BHK,1326,2,1,34.8,3480000
Super built-up  Area,Ready To Move,Abbigere,2 BHK,1000,2,1,41,4100000
Super built-up  Area,Ready To Move,Abbigere,2 BHK,795,1,1,32.6,3260000
Super built-up  Area,Ready To Move,Abbigere,2 BHK,1020,2,1,41.82,4182000
Super built-up  Area,Ready To Move,Abbigere,2 BHK,985,2,1,40.39,4039000
Super built-up  Area,18-Jun,Abbigere,1 BHK,734,1,0,19.82,1982000
Super built-up  Area,Ready To Move,Abbigere,2 BHK,1005,2,1,39.59,3959000
Super built-up  Area,Ready To Move,Abbigere,2 BHK,795,2,1,32.54,3254000
Super built-up  Area,21-Dec,Abbigere,2 BHK,880,2,1,35,3500000
Super built-up  Area,Ready To Move,Abbigere,1 BHK,765,2,2,30,3000000
Super built-up  Area,17-Nov,Abbigere,3 BHK,1260,2,1,45,4500000
Plot  Area,Ready To Move,Abbigere,4 BHK,1200,3,2,120,12000000
Built-up  Area,Ready To Move,Abshot Layout,2 BHK,1140,1,1,185,18500000
Super built-up  Area,Ready To Move,Adarsh Nagar,2 BHK,1270,2,1,50,5000000
Super built-up  Area,Ready To Move,Addischetan Layout,3 BHK,1495,3,2,55,5500000
Plot  Area,Ready To Move,Adityanagar,1 BHK,1260,1,1,41,4100000
Plot  Area,Ready To Move,Adityanagar,1 BHK,1260,1,0,41,4100000
Super built-up  Area,Ready To Move,Adugodi,2 BHK,1201,2,1,65,6500000
Super built-up  Area,Ready To Move,Agara Village,3 BHK,1925,3,2,120,12000000
Super built-up  Area,Ready To Move,Agrahara Dasarahalli,1 BHK,1200,1,0,65,6500000
Plot  Area,Ready To Move,Agrahara Dasarahalli,3 BHK,1350,1,0,120,12000000
Built-up  Area,Ready To Move,Agrahara Dasarahalli,1 BHK,800,1,0,72,7200000
Super built-up  Area,Ready To Move,Air View Colony,2 BHK,1100,2,1,58.5,5850000
Super built-up  Area,Ready To Move,Aishwarya Crystal Layout,3 BHK,2250,3,1,113,11300000
Built-up  Area,Ready To Move,Aishwarya Crystal Layout,2 BHK,1053,2,0,51,5100000
Built-up  Area,Ready To Move,Akash Nagar,2 BHK,967,2,1,47.8,4780000
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,1430,2,2,75,7500000
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,1410,2,2,80,8000000
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,1720,3,1,134,13400000
Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,1388,2,3,57,5700000
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,1600,2,2,65,6500000
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,1476,3,1,120,12000000
Super built-up  Area,18-Mar,Akshaya Nagar,3 BHK,1360,2,2,85,8500000
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,1410,2,2,75,7500000
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,1897,3,2,120,12000000
Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,1280,2,1,60,6000000
Plot  Area,Ready To Move,Akshaya Nagar,4 BHK,1200,4,2,125,12500000
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,2061,3,1,200,20000000
Super built-up  Area,18-May,Akshaya Nagar,3 BHK,1250,3,2,40,4000000
Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,1070,2,1,54,5400000
Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,1200,2,1,50,5000000
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,1897,4,2,93,9300000
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,1690,3,2,85,8500000
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,1690,3,2,85,8500000
Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,1300,2,1,54,5400000
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,1419,2,3,87,8700000
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,1890,4,2,100,10000000
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,1412,2,3,88,8800000
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,1435,3,3,53,5300000
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,1420,2,2,75,7500000
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,2300,4,3,102,10200000
Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,1126,2,1,55,5500000
Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,1265,2,3,67,6700000
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,1690,3,2,85,8500000
Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,1314,2,2,68.8,6880000
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,1551,2,2,60,6000000
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,2061,3,3,175,17500000
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,1884,3,3,98,9800000
Plot  Area,Ready To Move,Akshaya Nagar,1 BHK,2000,1,0,200,20000000
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,1700,3,1,80,8000000
Super built-up  Area,18-May,Akshaya Nagar,2 BHK,1092,2,1,60,6000000
Plot  Area,Ready To Move,Akshaya Nagar,4 BHK,750,4,2,62,6200000
Built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,1662,3,2,85.5,8550000
Plot  Area,Ready To Move,Akshaya Nagar,4 BHK,1080,4,1,75,7500000
Plot  Area,Ready To Move,Akshaya Nagar,4 BHK,1410,4,2,160,16000000
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,1421,2,2,73,7300000
Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,1179,2,1,51,5100000
Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,1225,2,0,68,6800000
Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,1300,2,2,66,6600000
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,1896,3,2,102,10200000
Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,1100,2,2,48,4800000
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,2061,4,2,175,17500000
Built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,1662,3,3,85.1,8510000
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,1893,4,2,95,9500000
Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,1113,2,1,52,5200000
Built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,1662,3,2,85,8500000
Built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,900,2,1,45,4500000
Built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,1200,2,2,45,4500000
Built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,1000,2,1,38,3800000
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,1820,4,2,95,9500000
Built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,1434,3,3,84,8400000
Built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,1419,2,3,73,7300000
Built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,2650,3,2,125,12500000
Built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,1280,2,1,60,6000000
Super built-up  Area,Ready To Move,Akshaya Vana,3 BHK,1260,2,1,49,4900000
